,show_id,type,title,cast,country,date_added,release_year,rating,duration,listed_in,description
285,81011508,TV Show,Life,"Lee Dong-wook, Cho Seung-woo, Won Jin-ah, Lee Kyu-hyung, Moon Sung-keun, Yoo Jae-myung, Moon So-ri, Chun Ho-jin",South Korea,"September 12, 2018",2018,TV-MA,1,"International TV Shows, Korean TV Shows, TV Dramas","At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO."
289,80223685,TV Show,Daniel Sloss: Live Shows,Daniel Sloss,United States,"September 11, 2018",2018,TV-MA,1,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent."
290,80189586,TV Show,If I were an Animal,"Zachary Young, Fleur Delahunty",,"September 11, 2018",2018,TV-Y,1,"Docuseries, Kids' TV, Science & Nature TV","Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood."
297,81077065,TV Show,Terrace House: Tokyo 2019-2020,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",,"September 10, 2019",2019,TV-MA,1,"International TV Shows, Reality TV","Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them."
307,81073764,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,,,"September 1, 2019",2016,TV-Y,1,Kids' TV,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series."
318,80241003,TV Show,Serial Killer with Piers Morgan,Piers Morgan,United Kingdom,"September 1, 2019",2018,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives."
328,81154900,TV Show,Transformers Rescue Bots Academy,"Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou",United States,"September 1, 2019",2019,TV-Y,1,Kids' TV,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions."
329,81154956,TV Show,Transformers: Cyberverse,"Sophia Isabella, Jeremy Levy, Jacob Tillman, Ryan Andes, Deanna McGovern, Dick Terhune",,"September 1, 2019",2018,TV-Y7,1,Kids' TV,Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.
333,81004113,TV Show,Age of Rebellion,"Peter Ho, Jeanine Yang, Tammy Chen, Jason Tsou, Chang Ting-hu, Nana Lee, Nien Hsuan Wu",Taiwan,"September 1, 2018",2018,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds."
345,80994108,TV Show,Sisters,"Lucy Durack, Antonia Prebble, Maria Angelico, Dan Spielman, Charlie Garber, Lindsay Farris, Zindzi Okenyo, Catherine McClements, Roy Billing, Magda Szubanski",Australia,"September 1, 2018",2018,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas",Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.
354,81004162,TV Show,The Road to Calvary,"Anna Chipovskaya, Yulia Snigir, Leonid Bichevin, Pavel Trubiner",Russia,"September 1, 2018",2017,TV-14,1,"International TV Shows, TV Dramas","Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them."
356,80188969,TV Show,A Boy Name Flora A,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang",Taiwan,"September 1, 2017",2017,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas",A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.
357,80189155,TV Show,A House of Blocks,"Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting",,"September 1, 2017",2017,TV-MA,1,"International TV Shows, TV Dramas, TV Horror","Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost."
360,80189208,TV Show,All About Love,"Christina Mok, River Huang, Stone Yang, April Liu, Andy Wu, Jake Hsu",Taiwan,"September 1, 2017",2017,TV-14,1,"International TV Shows, TV Dramas, TV Horror",Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind.
367,80178543,TV Show,FINAL FANTASY XIV Dad of Light,"Yudai Chiba, Ren Osugi, Fumika Baba, Yoshihiko Hakamada, Hatsunori Hasegawa, Mako Ishino",Japan,"September 1, 2017",2017,TV-PG,1,"International TV Shows, TV Dramas",A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.
368,70213196,TV Show,Gurren Lagann,"Tetsuya Kakihara, Katsuyuki Konishi, Marina Inoue, Masaya Onosaka, Nobuyuki Hiyama, Shizuka Ito, Daiki Nakamura, Kisho Taniyama, Rina Sato, Kana Ueda, Kana Asumi, Mitsuki Saiga, Takako Honda, Yukari Fukui, Kiyoyuki Yanada, Michiko Neya, Akio Suyama, Kiyoshi Kawakubo, Narushi Ikeda, Andrea Kwan, Brett Weaver, Bridget Hoffman, Dave Bridges, David Lee Mckinney, Hynden Walch, Kyle Hebert, Michelle Ruff, Yuri Lowenthal",Japan,"September 1, 2017",2007,TV-14,1,"Anime Series, International TV Shows","When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble."
369,70208520,TV Show,High Risk,,United States,"September 1, 2017",1988,TV-G,1,"Docuseries, Reality TV","From scientists to snake handlers, this series explores what motivates some people to put themselves in jeopardy to perform extraordinary feats."
375,80105933,TV Show,LEGO Elves: Secrets of Elvendale,"Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr",United States,"September 1, 2017",2017,TV-Y7,1,Kids' TV,"Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series."
378,80133200,TV Show,Maniac,"Espen Petrus Andersen Lervaag, Håkon Bast Mossige, Arif Salum, Ingeborg Raustøl, Marte Germaine Christensen, Mats Mogeland",Norway,"September 1, 2017",2015,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas","A nondescript man in a mental hospital has an exciting life of adventure and romance – in his head. He may be insane, or maybe he's just having fun."
397,80200913,TV Show,Tip the Mouse,"Alyson Leigh Rosenfeld, Dave Wills, Serra Hirsch, Erica Schroeder, Jason Griffith","Germany, United States, Italy","September 1, 2017",2014,TV-Y,1,Kids' TV,"In his tiny meadow village, curious little mouse Tip enjoys fun and adventure while learning about the world with his furry friends and family."
402,80118873,TV Show,Conspiracy,Mark Bazeley,United Kingdom,"September 1, 2016",2015,TV-14,1,"British TV Shows, Docuseries","Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues."
403,70229514,TV Show,Dead Set,"Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak",United Kingdom,"September 1, 2016",2008,TV-MA,1,"British TV Shows, TV Horror, TV Thrillers","While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound."
405,70303288,TV Show,Easy Fortune Happy Life,"Lan Cheng-lung, Joe Chen, Roy Chiu, Jocelyn Wang, Chieh-kai Shiou, Ting Chiang, Wang Chuan",Taiwan,"September 1, 2016",2009,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients."
408,80111273,TV Show,Game Winning Hit,"Lego Lee, Alice Ko, Afalean Lu, Tsai Chen-nan, Wang Chuan, Leiya Gao, Charlize Lin",Taiwan,"September 1, 2016",2009,TV-PG,1,"International TV Shows, TV Comedies, TV Dramas",An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
410,80111710,TV Show,Lucky Days,"Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien",China,"September 1, 2016",2010,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage."
413,80128337,TV Show,Station Horizon,"Bernard Yerlès, Roland Vouilloz, Gaspard Boesch, Alexandra Vandernoot, Marie Fontannaz, Lavinia Longhi, Baptiste Gilliéron",Switzerland,"September 1, 2016",2015,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas","Ex-con Joris returns to his Swiss hometown, a community obsessed with American culture and ideals, to start over and save his family's gas station."
414,70303289,TV Show,The Fierce Wife,"Sonia Sui, James Wen, Amanda Chu, Chris Wang, Karen Ying-Chen Hu, Patrick Lee, Janel Tsai, Li-li Pan, Fu Lei",Taiwan,"September 1, 2016",2010,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas",Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.
415,80111614,TV Show,The Womanizer,"Lan Cheng-lung, Sonia Sui, James Wen, Bianca Bai, George Chang, Chung Hsin-ling, Tzu-chiang Chao, Xiao Xiao Bin",China,"September 1, 2016",2010,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Comedies",Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.
416,80111275,TV Show,The Year of Happiness and Love,"Amber Kuo, James Wen, Weber Yang, Sonia Sui, Nien-Jen Wu, Kay Huang, Tsai Chen-nan, Lin Mei-hsiu",Taiwan,"September 1, 2016",2009,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune."
418,80118889,TV Show,Witches: A Century of Murder,Suzannah Lipscomb,United Kingdom,"September 1, 2016",2015,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries","Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin."
422,80216665,TV Show,Rhythm + Flow,"Cardi B, Chance The Rapper, T.I.",United States,"October 9, 2019",2019,TV-MA,1,Reality TV,"In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar."
434,80113144,TV Show,StoryBots Super Songs,"Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis",United States,"October 7, 2016",2016,TV-Y,1,Kids' TV,"Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more."
439,80174918,TV Show,ID-0,"Kazuyuki Okitsu, Minami Tsuda, Masaya Matsukaze, Sayaka Ohara, Rikiya Koyama, Hisako Kanemoto, Ari Ozawa, Junko Minagawa, Reina Ueda",Japan,"October 6, 2017",2017,TV-14,1,"Anime Series, International TV Shows","In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure."
442,80215730,TV Show,Legend Quest: Masters of Myth,"Johnny Rose, Annemarie Blanco, Paul Tei, Oscar Cheda, Chuck Morgan, Jenna Lamia, James Carrey",Mexico,"October 5, 2019",2019,TV-Y7,1,Kids' TV,"When mythical creatures come to life, it's up to Leo, Teodora, Don Andrés and Alebrije – super-secret monster hunters – to save the day."
443,81161487,TV Show,My Country: The New Age,"Yang Se-Jong, Woo Do‑hwan, Seolhyun, Jang Hyuk, Kim Young-chul, In Gyo-jin, Yu Oh-seong, Ahn Nae-sang",South Korea,"October 5, 2019",2019,TV-14,1,"International TV Shows, Korean TV Shows, TV Action & Adventure","At the end of the Goryeo period, there were those who led the charge to proclaim a new age – and the ordinary individuals who risked everything."
446,80198511,TV Show,Dancing Queen,"Justin ""Alyssa Edwards"" Johnson",,"October 5, 2018",2018,TV-14,1,Reality TV,Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day – and the drag world by night.
448,80240840,TV Show,Empire Games,Jim O'Brien,"Czech Republic, United States","October 5, 2018",2018,TV-14,1,Docuseries,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.
449,80191369,TV Show,LOST SONG,"Konomi Suzuki, Yukari Tamura, Misaki Kuno, Chiaki Takahashi, Seiichiro Yamashita, Asami Seto, Yu Serizawa, Ai Kayano, Tsuyoshi Koyama, Yuto Suzuki, Mitsuru Ogata, Hiroshi Ito",Japan,"October 5, 2018",2018,TV-14,1,"Anime Series, International TV Shows","War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song."
453,80220650,TV Show,YG Future Strategy Office,"Seungri, Yoo Byung Jae, Lee Jai-jin, Jinu, Son Se-bin, Kim Ga-eun, Park Choong-hwan, Baek Yeong-gwang, Choi Sin-deuk",South Korea,"October 5, 2018",2018,TV-MA,1,"International TV Shows, Korean TV Shows, TV Comedies","K-pop star Seungri, BIGBANG's youngest member, tries to lead a team of bumbling staff at YG's Future Strategy Office in this mockumentary sitcom."
458,80117803,TV Show,Raising Dion,"Alisha Wainwright, Ja'Siah Young, Jason Ritter, Michael B. Jordan, Jazmyn Simon, Ali Ahn, Sammi Haney",United States,"October 4, 2019",2019,TV-PG,1,"Kids' TV, TV Action & Adventure, TV Dramas",A widowed mom sets out to solve the mystery surrounding her young son's emerging superpowers while keeping his extraordinary gifts under wraps.
463,81010662,TV Show,Violet Evergarden: Special,"Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Kouki Uchiyama, Minori Chihara, Haruka Tomatsu, Yoko Hikasa",Japan,"October 4, 2018",2018,TV-PG,1,"Anime Series, International TV Shows, Romantic TV Shows","Auto Memory Doll Violet Evergarden writes letters for people who can’t, learning about her war-torn country and her own hardened heart along the way."
466,80203920,TV Show,Nowhere Man,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",Taiwan,"October 31, 2019",2019,TV-MA,1,"Crime TV Shows, International TV Shows, TV Action & Adventure","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one."
